,,PltRpt=1 Group=1 Tim_CTB(1) De=1st Ex=Top Em=Top Wdw=N/A (14),,,,,,,,,,
Plate,Well,Signal,,,,,,,,,,
6,H02,91798,,,,,,,,,,
6,H03,69536,,,,,,,,,,
6,H04,76527,,,,,,,,,,
6,H05,81097,,,,,,,,,,
6,H06,69865,,,,,,,,,,
6,H07,93757,,,,,,,,,,
6,H08,99958,,,,,,,,,,
6,H09,123721,,,,,,,,,,
6,H10,55205,,,,,,,,,,
6,H11,90031,,,,,,,,,,
6,H12,108611,,,,,,,,,,
,,,,,,,,,,,,
,,PltRpt=1 Group=1 Tim_CTB(1) De=1st Ex=Top Em=Top Wdw=N/A (14),,,,,,,,,,
Plate,Well,Signal,,,,,,,,,,
7,A01,103334,,,,,,,,,,
7,A02,104416,,,,,,,,,,
7,A03,88765,,,,,,,,,,
7,A04,102077,,,,,,,,,,
7,A05,103877,,,,,,,,,,
7,A06,106759,,,,,,,,,,
7,A07,96739,,,,,,,,,,
7,A08,101115,,,,,,,,,,
7,A09,91954,,,,,,,,,,
7,A10,83638,,,,,,,,,,
7,A11,74444,,,,,,,,,,
7,A12,28574,,,,,,,,,,
7,B01,89213,,,,,,,,,,
7,B02,111074,,,,,,,,,,
7,B03,49995,,,,,,,,,,
7,B04,80945,,,,,,,,,,
7,B05,79546,,,,,,,,,,
7,B06,74575,,,,,,,,,,
7,B07,55512,,,,,,,,,,
7,B08,57796,,,,,,,,,,
7,B09,100906,,,,,,,,,,
7,B10,45862,,,,,,,,,,
7,B11,44269,,,,,,,,,,
7,B12,28527,,,,,,,,,,
7,C01,89206,,,,,,,,,,
7,C02,117959,,,,,,,,,,
7,C03,121985,,,,,,,,,,
7,C04,63713,,,,,,,,,,
7,C05,72117,,,,,,,,,,
7,C06,93791,,,,,,,,,,
7,C07,106035,,,,,,,,,,
7,C08,103752,,,,,,,,,,
7,C09,98384,,,,,,,,,,
7,C10,95895,,,,,,,,,,
7,C11,86817,,,,,,,,,,
7,C12,28589,,,,,,,,,,
7,D01,88122,,,,,,,,,,
7,D02,111611,,,,,,,,,,
7,D03,104554,,,,,,,,,,
7,D04,53404,,,,,,,,,,
7,D05,98025,,,,,,,,,,
7,D06,92100,,,,,,,,,,
7,D07,99966,,,,,,,,,,
7,D08,81121,,,,,,,,,,
7,D09,84924,,,,,,,,,,
7,D10,113001,,,,,,,,,,
7,D11,89510,,,,,,,,,,
7,D12,31972,,,,,,,,,,
7,E01,30982,,,,,,,,,,
7,E02,111621,,,,,,,,,,
7,E03,74784,,,,,,,,,,
7,E04,78746,,,,,,,,,,
7,E05,79137,,,,,,,,,,
7,E06,33059,,,,,,,,,,
7,E07,81056,,,,,,,,,,
7,E08,91162,,,,,,,,,,
7,E09,68527,,,,,,,,,,
7,E10,44983,,,,,,,,,,
7,E11,97054,,,,,,,,,,
7,E12,106634,,,,,,,,,,
7,F01,30359,,,,,,,,,,
7,F02,83395,,,,,,,,,,
7,F03,86307,,,,,,,,,,
7,F04,91864,,,,,,,,,,
7,F05,89684,,,,,,,,,,
7,F06,98408,,,,,,,,,,
7,F07,61933,,,,,,,,,,
7,F08,97158,,,,,,,,,,
7,F09,92171,,,,,,,,,,
7,F10,85979,,,,,,,,,,
7,F11,95643,,,,,,,,,,
7,F12,104964,,,,,,,,,,
7,G01,30422,,,,,,,,,,
7,G02,92484,,,,,,,,,,
7,G03,83037,,,,,,,,,,
7,G04,77664,,,,,,,,,,
7,G05,97659,,,,,,,,,,
7,G06,43437,,,,,,,,,,
7,G07,104025,,,,,,,,,,
7,G08,105965,,,,,,,,,,
7,G09,85612,,,,,,,,,,
7,G10,96970,,,,,,,,,,
7,G11,90906,,,,,,,,,,
7,G12,110147,,,,,,,,,,
7,H01,29392,,,,,,,,,,
7,H02,102520,,,,,,,,,,
7,H03,78276,,,,,,,,,,
7,H04,69688,,,,,,,,,,
7,H05,91531,,,,,,,,,,
7,H06,67686,,,,,,,,,,
7,H07,87731,,,,,,,,,,
7,H08,92227,,,,,,,,,,
7,H09,115924,,,,,,,,,,
7,H10,52658,,,,,,,,,,
7,H11,79970,,,,,,,,,,
7,H12,108989,,,,,,,,,,
,,,,,,,,,,,,
,,PltRpt=1 Group=1 Tim_CTB(1) De=1st Ex=Top Em=Top Wdw=N/A (14),,,,,,,,,,
Plate,Well,Signal,,,,,,,,,,
8,A01,99275,,,,,,,,,,
8,A02,93051,,,,,,,,,,
8,A03,82960,,,,,,,,,,
8,A04,95951,,,,,,,,,,
